sample_name,Name,DateCollected,Trial,ChemConc,Sex,Species,Time/TrialDay,Location,Sample Type,Notes
21-R1,Alaska1,1/24/2021,MVC,0,Female,Moose,1900,Anchorage,Rumen,
21-R2,Alaska1,1/24/2021,MVC,0,Female,Moose,1900,Anchorage,Cecum,
21-R3,Alaska2,1/14/2021,MVC,0,Female,Moose,1000,Palmer,Rumen,
21-R4,Alaska2,1/14/2021,MVC,0,Female,Moose,1001,Palmer,Cecum,
21-R5,Alaska3,12/8/2021,MVC,0,Female,Moose,2240,Wasilla,Rumen,
21-R6,Alaska3,12/8/2021,MVC,0,Female,Moose,2240,Wasilla,Cecum,
21-R7,Alaska3,12/8/2021,MVC,0,Female,Moose,2240,Wasilla,Fecal,
21-R8,Alaska4,1/28/2022,MVC,0,Female,Moose,830,Wasilla,Rumen,
21-R9,Alaska4,1/28/2022,MVC,0,Female,Moose,831,Wasilla,Cecum,
21-R10,Alaska4,1/28/2022,MVC,0,Female,Moose,832,Wasilla,Fecal,
21-R11,Alaska5,2/19/2022,MVC,0,Female,Moose,2009,Palmer,Rumen,
21-R12,Alaska5,2/19/2022,MVC,0,Female,Moose,2009,Palmer,Fecal,
22-R1,Inland1,8/23/2022,MVC,0,Female,Moose,1855,Moscow,Rumen,
22-R2,Inland1,8/23/2022,MVC,0,Female,Moose,1855,Moscow,Cecum,
22-R3,Inland1,8/23/2022,MVC,0,Female,Moose,1855,Moscow,Fecal,
22-R4,Inland2,10/4/2022,MVC,0,Male,Moose,unknown,Spokane,Rumen,
22-R5,Inland2,10/4/2022,MVC,0,Male,Moose,unknown,Spokane,Cecum,
23-R6,Inland2,10/4/2022,MVC,0,Male,Moose,unknown,Spokane,Fecal,
22-R7,Inland3,10/12/2022,MVC,0,Male,Moose,unknown,Spokane,Rumen,
22-R8,Inland3,10/12/2022,MVC,0,Male,Moose,unknown,Spokane,Cecum,
22-R9,Inland3,10/12/2022,MVC,0,Male,Moose,unknown,Spokane,Fecal,
